Source Term,Source Term Hot Key,Target Term,Target Term Hot Key,Category,Type,Environment,Product,Comments
embed,,внедрить,,GEN,,WIN,Standard,GUI
embedded object,,внедренный объект,,GEN,,WIN,Standard,GUI
END,,END,,KEY,,WIN,Standard,GUI
ENTER,,клавиша ввода,,KEY,,WIN,Standard,GUI
enter,,ввести,,GEN,,WIN,Standard,GUI
ENTER (keypad),,клавиша ввода ENTER (цифровая клавиатура),,KEY,,WIN,Standard,GUI
ESC,,ESC,,KEY,,WIN,Standard,GUI
Exit,,Выход,Ы,COM,,WIN,Standard,GUI
Exit and Return to,,Выход и возвращение в,,COM,,WIN,Standard,GUI
expand,,развернуть,,GEN,,WIN,Standard,GUI
extend selection,,расширить выделение (выделенную область),,GEN,,WIN,Standard,GUI
Extend selection on (EXT),,Расширить выделение (выделенную область),,GEN,,WIN,Standard,GUI
File,,Файл,Ф,MNU,,WIN,Standard,GUI
File Manager,,Файлы,,GEN,,WIN,Standard,GUI
File Name,,Имя файла,И,GEN,,WIN,Standard,GUI
Find Next,,Повторить поиск,П,GEN,,WIN,Standard,GUI
Find What,,Найти (Н) \ Что:,Н,GEN,,WIN,Standard,GUI
Find,,Найти... (H) / Поиск,Н / П,COM,,WIN,Standard,GUI
font,,шрифт,,GEN,,WIN,Standard,GUI
Font,,Шрифт,Ш,COM,,WIN,Standard,GUI
Font Style,,Начертание,,GEN,,WIN,Standard,GUI
Format,,Формат,Т,MNU,,WIN,Standard,GUI
freeze,,заморозить,,GEN,,WIN,Standard,GUI
Freeze Panes,,Заморозить подокна,,COM,,WIN,Standard,GUI
From ,,От / С,,GEN,,WIN,Standard,GUI
Full Menus,,Полные меню,,GEN,,WIN,Standard,GUI
gallery,,собрание (картинок)/ сборник / набор,,GEN,,WIN,Standard,GUI
Games,,Игры,,GEN,,WIN,Standard,GUI
Glossary,,Словарь,,GEN,,WIN,Standard,GUI
Go To,,Перейти,,GEN,,WIN,Standard,GUI
Go To,,Перейти...,Е,COM,,WIN,Standard,GUI
Goto/Gosub button,,кнопка Перейти,,GEN,,WIN,Standard,GUI
group,,группа / группировать,,GEN,,WIN,Standard,GUI
group box,,окно / поле группы,,GEN,,WIN,Standard,GUI
group icon,,значок группы*,,GEN,,WIN,Standard,GUI
group window,,окно группы,,GEN,,WIN,Standard,GUI
Help,,Справка,,GEN,,WIN,Standard,GUI
Help,,? / Справка,? / С,MNU,,WIN,Standard,GUI
Help window,,окно справки,,GEN,,WIN,Standard,GUI
Hide,,Скрыть,,COM,,WIN,Standard,GUI
hide,,скрыть / спрятать / выключить / сделать невидимым,,GEN,,WIN,Standard,GUI
History,,Хронология,Х,GEN,,WIN,Standard,GUI
HOME,,HOME,,KEY,,WIN,Standard,GUI
horizontal scroll bar,,горизонтальная полоса прокрутки,,GEN,,WIN,Standard,GUI
horizontal split bar,,горизонтальная линия разбивки,,GEN,,WIN,Standard,GUI
hourglass pointer,,"указатель ""песочные часы""",,GEN,,WIN,Standard,GUI
How to use Help,,Как пользоваться справкой,К,COM,,WIN,Standard,GUI
I-beam pointer,,текстовый указатель/курсор,,GEN,,WIN,Standard,GUI
icon,,значок,,GEN,,WIN,Standard,GUI
inactive window,,неактивное окно,,GEN,,WIN,Standard,GUI
Increase Speed (by 100%),,Увеличить скорость (на 100%),С,COM,,WIN,Standard,GUI
Increase Volume (by 25%),,Увеличить громкость (на 25%),Г,COM,,WIN,Standard,GUI
INS,,INSERT (INS),,KEY,,WIN,Standard,GUI
Insert,,Вставка,,MNU,,WIN,Standard,GUI
Insert File,,Вставить файл... ,Ф,COM,,WIN,Standard,GUI
Insert Object,,Вставить объект...,Ъ,COM,,WIN,Standard,GUI
Insert,,Вставить...,,COM,,WIN,Standard,GUI
insertion point,,место ввода,,GEN,,WIN,Standard,GUI
italic,,курсив,,GEN,,WIN,Standard,GUI
justified,,выровненный / выключка,,GEN,,WIN,Standard,GUI
Keyboard,,Клавиатура,К,COM,,WIN,Standard,GUI
label,,метка / подпись / пояснение / наклейка,,GEN,,WIN,Standard,GUI
Landscape,,Альбомная,,GEN,,WIN,Standard,GUI
left aligned,,[выровненный] по левому краю,,GEN,,WIN,Standard,GUI
LEFT ARROW,,СТРЕЛКА ВЛЕВО,,KEY,,WIN,Standard,GUI
left scroll arrow,,стрелка прокрутки влево,,GEN,,WIN,Standard,GUI
left window border,,левая граница окна,,GEN,,WIN,Standard,GUI
Line (Ln),,Строка (Строк),,GEN,,WIN,Standard,GUI
link,,связь,,GEN,,WIN,Standard,GUI
