close,,fermer,,GEN,V,WIN,Standard,GUI Guide,
Close All,,Fermer tout,,COM,,WIN,Standard,GUI Guide,
close box,,case de fermeture,,GEN,N,WIN,Standard,,
code,,code,,GEN,N,WIN,Standard,,
cold boot,,relance à froid,,GEN,N,WIN,Standard,,A startup process that begins with turning on the computer's power.
collapse,,réduire,,GEN,V,WIN,Standard,GUI Guide,
Collate copies,,Copies assemblées,,COM,,WIN,Standard,"Change from ""Copies triées"" in GUI Guide's 2nd edit.",
colon,,les deux points,,GEN,N,WIN,Standard,Style Guide.  In printing terms : le deux-points,
color monitor,,moniteur couleur,,GEN,N,WIN,Standard,,
column,,colonne,,GEN,N,WIN,Standard,,
COM,,COM,,GEN,,WIN,Standard,,
combo box,,zone de liste déroulante modifiable,,GEN,N,WIN,Standard,GUI Guide,
comma,,virgule,,GEN,N,WIN,Standard,Style Guide,
command,,commande,,GEN,N,WIN,Standard,,
COMMAND,,COMMAND,,KEY,,WIN,Standard,Style Guide,On the Mac
command button,,bouton de commande,,GEN,N,WIN,Standard,GUI Guide,
command line,,ligne de commande,,GEN,N,WIN,Standard,,
command prompt,,invite,,GEN,N,WIN,Standard,,
command separator,,séparateur de commande,,GEN,N,WIN,Standard,,
command-line syntax,,syntaxe de la commande,,GEN,N,WIN,Standard,,
compact disk,,disque audionumérique optique / CD / ,,GEN,,WIN,Standard,,
compatibility,,compatibilité,,GEN,N,WIN,Standard,,
compatible,,compatible,,GEN,ADJ,WIN,Standard,,
compile,,compiler,,GEN,V,WIN,Standard,,
compile time,,compilation,,GEN,N,WIN,Standard,,
compiler,,compilateur,,GEN,N,WIN,Standard,,
complete installation,,installation complète,,GEN,N,WIN,Standard,,
comprehensive index,,index général,,GEN,N,WIN,Standard,,
compress,,compresser,,GEN,V,WIN,Standard,This is an MS preference, 
computer output,,sortie d'ordinateur,,GEN,N,WIN,Standard,,
configuration,,configuration,,GEN,N,WIN,Standard,,
connect ,,connecter / se connecter ,,GEN,V,WIN,Standard,,
container,,conteneur,,GEN,N,WIN,Standard,"Change from ""incorporant"" in GUI Guide 2nd edit.  An OLE term, possibly to be modified.",
container document,,document conteneur,,GEN,N,WIN,Standard,"Change from ""incorporant"" in GUI Guide 2nd edit.  An OLE term, possibly to be modified.",
content,,contenu,,GEN,N,WIN,Standard,,
Contents,,Sommaire,,COM,,WIN,Standard,"Change from ""Index"" in GUI Guide 2nd edit.",
context-sensitive help,,aide contextuelle,,GEN,,WIN,Standard,,
contiguous,,contigu,,GEN,ADJ,WIN,Standard,,Having a shared boundary
Control menu,,menu Système,,GEN,N,WIN,Standard,,
Control Panel,,Panneau de configuration,,GEN,N,WIN,Standard,GUI Guide,
control-menu box,,case du menu Système,,GEN,N,WIN,Standard,GUI Guide
convention,,convention,,GEN,N,WIN,Standard,
conventional memory,,mémoire conventionelle,,GEN,N,WIN,Standard,
conversion,,conversion,,GEN,N,WIN,Standard,
Conversion Guide,,Guide de conversion,,GEN,,WIN,Standard,As a book/manual title.
converter,,convertisseur,,GEN,,WIN,Standard,
