base font,,,grundskrifttype,,GEN,,WIN,Standard,
baseline ,,,grundlinje,,GEN,,WIN,Standard,
Before You Begin,,,Inden du går i gang,,GEN,,WIN,Standard,documentation title
Belgian Dutch,,,nederlandsk (flamsk),,GEN,,WIN,Standard,
Belgian French,,,fransk (belgisk),,GEN,,WIN,Standard,
Belgium,,,Belgien,,GEN,,WIN,Standard,
BIFF,,,BIFF,,GEN,,WIN,Standard,
binary file format,,,binært filformat,,GEN,,WIN,Standard,
bitmap,,,bitmap,,GEN,,WIN,Standard,"en bitmap, bitmappen, bitmaps, bitmappene"
bits,,,bit,,GEN,,WIN,Standard,
BKSP,,,TLBA,,KEY,,WIN,Standard,abbreviation for BACKSPACE/TILBAGE
Black,,,Sort,,GEN,,WIN,Standard,
blink ,,,blinke ,,GEN,V,WIN,Standard,
block,,,blok,,GEN,,WIN,Standard,
Blue,,,Blå,,GEN,,WIN,Standard,
bold,b,,fed ,f,GEN,,WIN,Standard,GUI
bold button,,,knappen Fed,f,BUT,,WIN,Standard,
Bookmark,m,,Bogmærke  ,m,MNU,,WIN,Standard,GUI - Help
border,,,ramme,,GEN,,WIN,Standard,GUI
bottom ,,,nederst/bund,,GEN,,WIN,Standard,
bottom window border,,,nedre vinduesramme,,GEN,,WIN,Standard,GUI
boundary,,,grænse/afgrænsning/kant,,GEN,,WIN,Standard,
Braces,,,klammeparenteser,,GEN,,WIN,Standard,{ }
Brackets,,,kantede parenteser,,GEN,,WIN,Standard,[ ]
branch ,,,forgrene,,GEN,V,WIN,Standard,
branch ,,,gren,,GEN,N,WIN,Standard,
branching,,,forgrening,,GEN,,WIN,Standard,
Brazil,,,Brasilien,,GEN,,WIN,Standard,
Brazilian Portuguese,,,portugisisk (brasiliansk),,GEN,,WIN,Standard,
break,,,afbryde,,GEN,V,WIN,Standard,
BREAK,,,BREAK,,KEY,,WIN,Standard,GUI
Browse,,,Gennemse,,COM,,WIN,Standard,GUI
browse,,,gennemse,,GEN,V,WIN,Standard,GUI
browse up or down,,,gennemse fremad/tilbage,,GEN,,WIN,Standard,
build a formula,,,opstille en formel,,GEN,V,WIN,Standard,
built-in font,,,indbygget skrifttype,,GEN,,WIN,Standard,
Bulgaria,,,Bulgarien,,GEN,,WIN,Standard,
Bulgarian,,,bulgarsk,,GEN,,WIN,Standard,
button,,,knap,,GEN,,WIN,Standard,GUI
by default,,,som standard,,GEN,,WIN,Standard,
C3 Envelope,,,C3-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
C4 Envelope,,,C4-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
C5 Envelope,,,C5-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
C6 Envelope,,,C6-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
