Cut,,Taglia,,COM,,WIN,STANDARD,
Cut,,Tagliare,,GEN,,WIN,STANDARD,
Decrease Speed,,Diminuisci la velocità,,COM,,WIN,STANDARD,
Decrease Volume,,Abbassa il volume,,COM,,WIN,STANDARD,
Default,,Predefinito,,BUT,,WIN,STANDARD,
Define,,Definisci,,COM,,WIN,STANDARD,
DEL,,Canc,,KEY,,WIN,STANDARD,
DELETE,,Canc,,KEY,,WIN,STANDARD,
Delete,,Elimina,,COM,,WIN,STANDARD,
Delete,,Eliminare,,GEN,,WIN,STANDARD,
Delete After Current Position,,Elimina dopo la posizione corrente,,COM,,WIN,STANDARD,
Delete Before Current Position,,Elimina prima della posizione corrente,,COM,,WIN,STANDARD,
Deselect,,Deselezionare,,GEN,,WIN,STANDARD,Variante contestuale.
Desktop,,Desktop,,GEN,,WIN,STANDARD,Parte dello schermo.
Destination application,,Applicazione di destinazione,,GEN,,WIN,STANDARD,
Destination document,,Documento di destinazione,,GEN,,WIN,STANDARD,
Device menu,,Periferica,,MNU,,WIN,STANDARD,
Dialog box,,Finestra di dialogo,,GEN,,WIN,STANDARD,
Dialog box name,,Nome della finestra di dialogo,,TXT,,WIN,STANDARD,
Dialog box title,,Titolo della finestra di dialogo,,GEN,,WIN,STANDARD,
Dimmed,,Inattivo,,GEN,,WIN,STANDARD,A luminosità ridotta
Dimmed command,,Comando inattivo,,GEN,,WIN,STANDARD,
Direction,,Direzione,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Directories,,Directory,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Directory icon,,Icona della directory,,GEN,,WIN,STANDARD,Parte dello schermo.
Disk icon,,Icona del disco,,GEN,,WIN,STANDARD,Parte dello schermo.
Disk-drive icon,,Icona dell'unità disco,,GEN,,WIN,STANDARD,
Document,,Documento,,COM,,WIN,STANDARD,
Document file icon,,Icona del file del documento,,GEN,,WIN,STANDARD,Parte dello schermo.
Document icon,,Icona del documento,,GEN,,WIN,STANDARD,Parte dello schermo.
Document window,,Finestra del documento,,GEN,,WIN,STANDARD,Parte dello schermo.
Done,,Chiudi,,BUT,,WIN,STANDARD,
Double underline,,Sottolineato doppio,,GEN,,WIN,STANDARD,Formattazione di carattere.
Double-click,,Fare doppio clic su,,GEN,,WIN,STANDARD,Mouse
Double-drag,,Fare doppio clic e trascinare,,GEN,,WIN,STANDARD,
Down,,Giù,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Down arrow,,Freccia GIÙ,,KEY,,WIN,STANDARD,
Down scroll arrow,,Freccia di scorrimento Giù,,GEN,,WIN,STANDARD,Parte dello schermo.
Drag,,Trascinare,,GEN,,WIN,STANDARD,Azione del mouse.
Drag and drop,,Trascina selezione,,GEN,,WIN,STANDARD,
Drag-and-drop,,Trascinare selezione,,GEN,,WIN,STANDARD,Mouse
Drawing area,,Area di disegno,,GEN,,WIN,STANDARD,
Drive icon,,Icona dell'unità disco,,GEN,,WIN,STANDARD,Parte dello schermo.
Drives,,Unità,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Drop,,Rilasciare,,GEN,,WIN,STANDARD,Mouse
Drop data,,Riversare dati in,,GEN,,WIN,STANDARD,
Drop-down combo box,,Casella combinata a discesa,,GEN,,WIN,STANDARD,Parte dello schermo.
Drop-down list box,,Casella di riepilogo a discesa,,GEN,,WIN,STANDARD,Parte dello schermo.
Drop-down menu,,Menu a discesa,,GEN,,WIN,STANDARD,Parte dello schermo.
Dropdown arrow,,Freccia di selezione,,GEN,,WIN,STANDARD,
Dropdown list,,Elenco a discesa,,GEN,,WIN,STANDARD,
Edit,,Modifica,,MNU,,WIN,STANDARD,
Edit Box,,Casella di modifica,,GEN,,WIN,STANDARD,
Edit control,,Casella di modifica,,GEN,,WIN,STANDARD,
Edit menu,,Modifica,,MNU,,WIN,STANDARD,
Effects menu,,Effetti,,MNU,,WIN,STANDARD,
Ellipsis,,Puntini di sospensione,,GEN,,WIN,STANDARD,Parte dello schermo.
Embed,,Incorporare,,GEN,,WIN,STANDARD,
Embedded object,,Oggetto incorporato,,GEN,,WIN,STANDARD,
END,,Fine,,KEY,,WIN,STANDARD,
End key,,Fine,,KEY,,WIN,STANDARD,
Enter,,Immettere,,GEN,,WIN,STANDARD,Varianti contestuali
ENTER,,Invio,,KEY,,WIN,STANDARD,
ENTER,,INVIO (Tn),,KEY,,WIN,STANDARD,Tastierino numerico.
Enter box,,Casella di immissione,,GEN,,WIN,STANDARD,
Entry field,,Casella di immissione,,GEN,,WIN,STANDARD,
ESC,,Esc,,KEY,,WIN,STANDARD,
Exit,,Esci,,COM,,WIN,STANDARD,
Exit and Return to,,Esci e ritorna,,COM,,WIN,STANDARD,
Exit Setup,,Esci,,BUT,,WIN,STANDARD,
Expand,,Espandere,,GEN,,WIN,STANDARD,
Expandable dialog box,,Finestra di dialogo espandibile,,GEN,,WIN,STANDARD,
EXT,,Est,,GEN,,WIN,STANDARD,Estendi selezione; abbreviazione barra di stato.
Extend selection,,Estendere la selezione,,GEN,,WIN,STANDARD,
Extend selection on,,Selezione estesa attiva,,GEN,,WIN,STANDARD,
Extend selection on (EXT),,Est,,GEN,,WIN,STANDARD,Estendi selezione; abbreviazione barra di stato.
File list box,,Casella di riepilogo dei file,,GEN,,WIN,STANDARD,
File Manager,,File Manager,,GEN,,WIN,STANDARD,Nome applicazione Windows.
File menu,,File,,MNU,,WIN,STANDARD,
File Name,,Nome file,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
Find,,Trova,,COM,,WIN,STANDARD,
Find Next,,Trova successivo,,COM,,WIN,STANDARD,Etichetta finestra di dialogo.
Find What,,Trova,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Fold-out dialog box,,Finestra di dialogo espandibile,,DIA,,WIN,STANDARD,
Folder,,Cartella,,GEN,,WIN,STANDARD,
Font,,Carattere,,COM,,WIN,STANDARD,Anche nome di menu.
Font,,Tipo,,DIA,,WIN,STANDARD,Finestra di dialogo Carattere. Nella stessa finestra: Stile; Dimensione; Effetti; Esempio.
Font,,Tipo di carattere,,GEN,,WIN,STANDARD,Generico.
Font Name:,,Tipo:,,DIA,,WIN,STANDARD,Finestra di dialogo Carattere. Nella stessa finestra: Stile; Dimensione; Effetti; Esempio.
Font Size:,,Dimensione:,,DIA,,WIN,STANDARD,Finestra di dialogo Carattere. Nella stessa finestra: Tipo; Stile; Effetti; Colore; Esempio.
Font Style:,,Stile:,,DIA,,WIN,STANDARD,Finestra di dialogo Carattere. Nella stessa finestra: Tipo; Dimensione; Effetti; Colore; Esempio.
Font:,,Tipo:,,DIA,,WIN,STANDARD,Finestra di dialogo Carattere. Nella stessa finestra: Stile; Dimensione; Effetti; Colore; Esempio.
Format,,Formato,,MNU,,WIN,STANDARD,
Frame corner,,Angolo della cornice,,TXT,,WIN,STANDARD,
Freeze,,Bloccare,,GEN,,WIN,STANDARD,Gestione delle finestre.
Freeze Panes,,Blocca riquadri,,COM,,WIN,STANDARD,
From,,Da,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Full Menus,,Menu completi,,COM,,WIN,STANDARD,
Gallery,,Modelli,,GEN,,WIN,STANDARD,
Games,,Giochi,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Glossary,,Glossario,,BUT,,WIN,STANDARD,
Go To,,Vai a,,COM,,WIN,STANDARD,
Goto/Gosub button,,Pulsante di avanzamento,,GEN,,WIN,STANDARD,
Graphic file,,File di grafica,,GEN,,WIN,STANDARD,
Grayed command,,Comando inattivo,,GEN,,WIN,STANDARD,
Group,,Raggruppare,,GEN,,WIN,STANDARD,
Group box,,Casella di gruppo,,GEN,,WIN,STANDARD,
Group icon,,Icona del gruppo,,GEN,,WIN,STANDARD,Parte dello schermo.
Group window,,Finestra del gruppo,,GEN,,WIN,STANDARD,Parte dello schermo.
Help,,?,,BUT,,WIN,STANDARD,Punto interrogativo.
Help,,?,,MNU,,WIN,STANDARD,
Help menu,,Menu ?,,GEN,,WIN,STANDARD,
Help window,,Finestra della Guida,,GEN,,WIN,STANDARD,Parte dello schermo.
Hide,,Nascondere,,GEN,,WIN,STANDARD,Gestione delle finestre.
Hide,,Nascondi,,COM,,WIN,STANDARD,
History,,Cronologia,,BUT,,WIN,STANDARD,
HOME,,Home,,KEY,,WIN,STANDARD,
Horizontal scroll bar,,Barra di scorrimento orizzontale,,GEN,,WIN,STANDARD,Parte dello schermo.
Horizontal split bar,,Barra di divisione orizzontale,,GEN,,WIN,STANDARD,Parte dello schermo.
Hourglass pointer,,Clessidra,,GEN,,WIN,STANDARD,Parte dello schermo.
How to use Help,,Uso della Guida,,COM,,WIN,STANDARD,
Hue,,Tonalità,,GEN,,WIN,STANDARD,
I-beam pointer,,Cursore,,GEN,,WIN,STANDARD,Parte dello schermo.
Icon,,Icona,,GEN,,WIN,STANDARD,Parte dello schermo.
Inactive,,Inattivo,,GEN,,WIN,STANDARD,
Inactive window,,Finestra inattiva,,GEN,,WIN,STANDARD,Parte dello schermo.
Increase Speed (by 100%),,Aumenta la velocità (100%),,COM,,WIN,STANDARD,
Increase Volume (by 25%),,Alza il volume (25%),,COM,,WIN,STANDARD,
Index,,Sommario,,COM,,WIN,STANDARD,Il primo comando all'interno del menu ? È sempre Sommario (guiguide).
INS,,Ins,,KEY,,WIN,STANDARD,
Insert,,Inserisci,,COM,,WIN,STANDARD,
Insert File,,Inserisci file,,COM,,WIN,STANDARD,
Insert menu,,Inserisci,,MNU,,WIN,STANDARD,
Insert Object,,Inserisci oggetto,,COM,,WIN,STANDARD,
Insertion point,,Punto di inserimento,,GEN,,WIN,STANDARD,Parte dello schermo.
Integer,,Intero,,GEN,,WIN,STANDARD,
Interface,,Interfaccia,,GEN,,WIN,STANDARD,
Italic,,Corsivo,,GEN,,WIN,STANDARD,Formattazione di carattere.
Justified,,Giustificato,,GEN,,WIN,STANDARD,Formattazione di paragrafo.
Keyboard,,Tastiera,,COM,,WIN,STANDARD,Menu ?
