abbreviation,,abreviatura,,GEN,,WIN,Standard
communication-device queue,,cola de dispositivo de comunicación,,GEN,N,WIN,Standard,,
company,,empresa,,GEN ,N,WIN,Standard,,
compatibility,,compatibilidad,,GEN,N,WIN,Standard,,
compatible,,compatible,,GEN,ADJ,WIN,Standard,,
compile,,compilar,,GEN,V,WIN,Standard,,
compile time,,tiempo de compilación,,GEN,N,WIN,Standard,,Compilación 
compiler,,compilador,,GEN,N,WIN,Standard,,
complete installation,,instalación completa,,GEN,N,WIN,Standard,,
comprehensive index,,índice general,,GEN,N,WIN,Standard,,
configuration,,configuración,,GEN,N,WIN,Standard,,
connect to a server,,conectarse a un servidor,,GEN,,WIN,Standard,,
connect your workstation,,conectar su estación de trabajo,,GEN,,WIN,Standard,,
container,,contenedor,,GEN,N,WIN,Standard,,
container application,,aplicación contenedora,,GEN,,WIN,Standard,,
container document,,documento contenedor,,GEN,,WIN,Standard,,
content,,contenido,,GEN,N,WIN,Standard,,
Contents,,Contenido,I,COM,,WIN,Standard,,
context-sensitive help,,ayuda interactiva,,GEN,,WIN,Standard,,
contiguous,,contiguo,,GEN,ADJ,WIN,Standard,,Having a shared boundary
control menu,,menú Control,,GEN,N,WIN,Standard,,
Control Panel,,Panel de control,,GEN,N,WIN,Standard,,
control-menu box,,cuadro del menú Control,,GEN,N,WIN,Standard,,
convention,,convención,,GEN,N,WIN,Standard,,
conventional memory,,memoria convencional,,GEN,N,WIN,Standard,,
conversion,,conversión,,GEN,N,WIN,Standard,,
Conversion Guide,,Guía de conversiones,,GEN,,WIN,Standard,,
converter,,convertidor,,GEN,,WIN,Standard,,
Copies,,Copias,K,COM,,WIN,Standard,,
coprocessor,,coprocesador,,GEN,N,WIN,Standard,,
copy,,copia,,GEN,N,WIN,Standard,,
copy,,copiar,,GEN,V,WIN,Standard,,
copy files over the network,,copiar archivos a través de la red,,TXT,,WIN,Standard,,
Copy Special,,Copiado especial,I,COM,,WIN,Standard,,
Copyright,,Copyright,,GEN,,WIN,Standard,,
copyright,,propiedad intelectual,,GEN,,WIN,Standard,,Translated in general text
CPU (central processing unit),,CPU (unidad central de proceso),,GEN,,WIN,Standard,,
CR (carriage return),,retorno de carro,,GEN,N,WIN,Standard,,
create,,crear,,GEN,V,WIN,Standard,,
critical error,,error crítico,,GEN,N,WIN,Standard,,
crop,,recortar,,GEN,V,WIN,Standard,,
crop,,recorte,,GEN,N,WIN,Standard,,
crop mark,,marca de recorte,,GEN,N,WIN,Standard,,
cross-hair pointer,,puntero en forma de cruz,,GEN,N,WIN,Standard,,
cross-reference,,referencias cruzadas,,GEN,N,WIN,Standard,,
cross-references to art,,referencias cruzadas a arte,,GEN,,WIN,Standard,,
CTRL,,CTRL  CONTROL,,KEY,,WIN,Standard,,CTRL (PCs)  /  CONTROL (Macs)
CUA (common user access),,acceso de usuario normal (CUA),,GEN,,WIN,Standard,,
current drive,,unidad actual,,GEN,N,WIN,Standard,,
custom installation,,instalación personalizada,,GEN,N,WIN,Standard,,
customer assistance,,asistencia al cliente,,GEN,,WIN,Standard,,
Customize,,Personalizar,E,COM,,WIN,Standard,,
customized,,personalizado,,GEN,,WIN,Standard,,
Cut,,Cortar,A,COM,,WIN,Standard,,
cut,,cortar,,GEN,V,WIN,Standard,,
daisy-wheel printers,,impresora de margarita,,GEN,N,WIN,Standard,,
DAT (digital audio tape),,cinta de audio digital  (DAT),,GEN,,WIN,Standard,,
data,,datos,,GEN,N,WIN,Standard,,
data processing,,procesamiento de datos,,GEN,N,WIN,Standard,,
database management system,,sistema de administración de base de datos,,GEN,,WIN,Standard,,
DB (database),,base de datos (BD),,GEN,,WIN,Standard,,
dB (decibel),,dB (decibelios),,GEN,,WIN,Standard,,A unit of measurement used in electronics.
DBMS (database management system),,sistema de administración de base de datos (DBMS ),,GEN,,WIN,Standard,,The acronym SGBD is not common out of Spain
