English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
Column,,Kolonne,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Count,,AntallKolonner,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Heading,,Kolonneoverskrift,,TXT,,WIN,Access,Ver 2.0. List box item
Column Headings,,Kolonneoverskrifter,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Heads,,Kolonneoverskrift,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Hidden,,SkjulKolonne,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Order,,Kolonnerekkefølge,,TXT,,WIN,Access,Ver 2.0. Property or event
Column Width,,Kolonnebredde,,TDB,,WIN,Access,Ver 2.0.
Column Width,,Kolonnebredde,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Column Width...,C,Kolonnebredde...,K,COM,,WIN,Access,Ver 2.0.
Column Width...,,Kolonnebredde...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Column Width:,C,Kolonnebredde:,K,TXB,,WIN,Access,Ver 2.0.
Column Widths,,Kolonnebredder,,TXT,,WIN,Access,Ver 2.0. Property or event
Column:,l,Kolonne,K,DIA,,WIN,Access,Ver 2.0.
ColumnWidth,,Kolonnebredde,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Combo Box,,Kombinasjonsboks,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
comma separated values,,verdier skilt med komma,,TXT,,WIN,Access,Ver 2.0.
Command,,Kommando,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Command Button,,Kommandoknapp,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Command Line,,Kommandolinje,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Comment,,Kommentar,,TXT,,WIN,Access,Ver 2.0.
Common Expressions,,Vanlige uttrykk,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Compact,,Komprimer,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Compact Database...,C,Komprimer database...,m,COM,,WIN,Access,Ver 2.0.
