connect your workstation,,Ihre Arbeitsstation verbinden ,,,GEN,,WIN,Standard,Style Guide,
container,,"Container, der",,,GEN,N,WIN,Standard,An OLE term,
container application,,Container-Anwendung,,,GEN,N,WIN,Standard,GuiGuide,
container document,,Container-Dokument,,,GEN,N,WIN,Standard,GuiGuide,
content,,Inhalt,,,GEN,N,WIN,Standard,Style Guide,
Contents,,Inhalt,I,,COM,,WIN,Standard,GuiGuide,
context-sensitive help,,kontextbezogene Hilfe,,,GEN,,WIN,Standard,,
contiguous,,fortlaufend,,,GEN,ADJ,WIN,Standard,,Having a shared boundary
control menu,,Systemmenü,,,GEN,N,WIN,Standard,,
Control Panel,,Systemsteuerung,,,GEN,N,WIN,Standard,GuiGuide,
control-menu box,,Systemmenüfeld,,,GEN,N,WIN,Standard,GuiGuide
convention,,Konvention,,,GEN,N,WIN,Standard,Style Guide
conventional memory,,konventioneller Speicher,,,GEN,N,WIN,Standard,Style Guide
conversion,,Konvertierung,,,GEN,N,WIN,Standard,
Conversion Guide,,Konvertierungshandbuch,,,GEN,,WIN,Standard,As a book/manual title.
converter,,Umwandlungsprogramm,,,GEN,,WIN,Standard,
Copies,,Kopien,K,,COM,,WIN,Standard,GuiGuide
coprocessor,,"Coprozessor, der (en)",,,GEN,N,WIN,Standard,
Copy,,Kopieren,K,,COM,,WIN,Standard,GuiGuide
copy,,kopieren,,,GEN,V,WIN,Standard,GuiGuide
copy files over the network,,Dateien über das Netzwerk kopieren,,,TXT,,WIN,Standard,Style Guide
Copy Special,,Inhalte kopieren,I,,COM,,WIN,Standard,GuiGuide
Copyrights,,Copyrights,,,GEN,,WIN,Standard,Style Guide
coupon,,"Coupon, der",,,GEN,,WIN,Standard,"do not use ""Gutschein""!"
CPU (central processing unit),,"CPU, die",,,GEN,,WIN,Standard,
CR (carriage return),,Wagenrücklauf,,,GEN,N,WIN,Standard,
create,,erstellen,,,GEN,V,WIN,Standard,GuiGuide
critical error,,kritischer Fehler,,,GEN,N,WIN,Standard,
crop,,zuschneiden,,,GEN,V,WIN,Standard,GuiGuide
crop,,Rahmenänderung,,,GEN,N,WIN,Standard,GuiGuide
crop mark,,Zuschnittsmarke,,,GEN,N,WIN,Standard,
cross-hair pointer,,Fadenkreuz,,,GEN,N,WIN,Standard,GuiGuide
cross-reference,,Querverweis,,,GEN,N,WIN,Standard,Style Guide
cross-references to art,,Querverweise auf Darstellungen,,,GEN,,WIN,Standard,Style Guide
CTRL (Mac),,CTRL,,,KEY,,WIN,Standard,For the Mac
CTRL (PC),,STRG,,,KEY,,WIN,Standard,For PCs
CUA (common user access),,CUA,,,GEN,,WIN,Standard,
current drive,,aktuelles Laufwerk,,,GEN,N,WIN,Standard,Style Guide
custom installation,,benutzerdefinierte Installation,,,GEN,N,WIN,Standard,
Customize,,Einstellungen,E,,COM,,WIN,Standard,GuiGuide
customized,,benutzerdefiniert,,,GEN,,WIN,Standard,
Cut,,Ausschneiden,A,,COM,,WIN,Standard,GuiGuide
cut,,ausschneiden,,,GEN,V,WIN,Standard,GuiGuide,
daisy-wheel printers,,Typenraddrucker,,,GEN,N,WIN,Standard,Style Guide,
DAT (digital audio tape),,DAT,,,GEN,,WIN,Standard,,
data,,Daten,,,GEN,N,WIN,Standard,"In English, use as singular or plural, but with a singular verb. In German, use only in the plural.",
data processing,,EDV (elektronische Datenverarbeitung),,,GEN,N,WIN,Standard,,
database management system,,Datenbank-Managementsystem,,,GEN,,WIN,Standard,Used in Access,
DB (database),,Datenbank,,,GEN,,WIN,Standard,,
dB (decibel),,db,,,GEN,,WIN,Standard,One tenth of a bel,A unit of measurement used in electronics.
DBMS (database management system),,Datenbank-Managementsystem,,,GEN,,WIN,Standard,see MS Computer Dictionary,
DCA (Document Content Architecture),,DCA,,,GEN,,WIN,Standard,see MS Computer Dictionary,
DDE (dynamic data exchange),,DDE,,,GEN,,WIN,Standard,see MS Computer Dictionary,
deallocate,,freigeben,,,GEN,,WIN,Standard,,To reclaim or free previously allocated memory.
debug,,Fehler suchen,,,GEN,,WIN,Standard,,"To detect, locate and correct logical or syntactical errors in a computer program."
debug,,schrittweise testen,,,GEN,,WIN,Standard,,"To detect, locate and correct logical or syntactical errors in a computer program."
debug,,debuggen,,,GEN,,WIN,Standard,"in technical text, written for programmers","To detect, locate and correct logical or syntactical errors in a computer program."
decompress,,dekomprimieren,,,GEN,V,WIN,Standard,,
