%s Object/Link,,%s-object/-koppeling,B/-,COM,,WIN,PUB
Default Tabs:,,Standaardtabs:,T,OPT,,WIN,PUB
Defaults,,Standaard,S,BUT,,WIN,PUB
Delete,,Verwijderen,,DIA,,WIN,PUB
Delete,,Rijen of kolommen verwijderen,,TDB,,WIN,PUB
Delete All Tabs,,Alle tabs verwijderen,A,BUT,,WIN,PUB
Delete Colomns,,Kolom(men) verwijderen,D,COM,,WIN,PUB
Delete Page(s),,Pagina(´s) verwijderen,E,COM,,WIN,PUB
Delete Rows,,Rij(en) verwijderen,D,COM,,WIN,PUB
Delete Rows or Colomns,,Rijen of kolommen verwijderen,D,COM,,WIN,PUB
Delete Table Frame,,Tabelframe verwijderen,R,COM,,WIN,PUB
Delete Text,,Tekst verwijderen,W,COM,,WIN,PUB
Delete Text Frame,,Tekstframe verwijderen,V,COM,,WIN,PUB
Delete this style,,Opmaakprofiel verwijderen,V,OPT,,WIN,PUB
Design Tip,,Ontwerptip,,DIA,,WIN,PUB
Direction,,Richting,,DIA,,WIN,PUB
Directories:,,Directory's:,D,DIA,,WIN,PUB
Display As Icon,,Pictogram,P,CHX,,WIN,PUB
Distance:,,Afstand:,F,TXB,,WIN,PUB
Do you want to delete style xxx?,,Wilt u opmaakprofiel xxx verwijderen?,,TXT,,WIN,PUB
Dot . . .,,Stip . . .,S,OPT,,WIN,PUB
Double Underline,,Dubbel onderstrepen,D,CHX,,WIN,PUB
Down,,Omlaag,M,OPT,,WIN,PUB
Drag-And-Drop Text Editing,,Tekstbewerken d.m.v. slepen en neerzetten,B,CHX,,WIN,PUB
Drives:,,Stations:,S,DIA,,WIN,PUB
Duplex Printing,,Dubbelzijdig afdrukken,,DIA,,WIN,PUB
Duplicate All Objects On Page Number:,,Alle objecten dupliceren op pagina:,D,OPT,,WIN,PUB,
Edit,,Bewerken,W,COM,,WIN,STANDARD,
Edit,,Bewerken,W,MNU,,WIN,STANDARD,
Edit Substitution Table,,Vervangingstabel bewerken,W,BUT,,WIN,PUB,
Effects,,Effecten,,DIA,,WIN,PUB,
Empty Frames,,Lege frames,L,CHX,,WIN,PUB,
Encapsulated PostScript File,,Encapsulated PostScript-bestand,B,OPT,,WIN,PUB,
Enter the new style name,,Opmaakprofielnaam:,N,TXB,,WIN,PUB,
Entire Frame,,Volledige frame,V,OPT,,WIN,PUB,
Entire Paragraph,,Volledige alinea,V,OPT,,WIN,PUB,
Every XXX Minutes,,Iedere XXX minuten,I,TXB,,WIN,PUB,
Exit Publisher,,Afsluiten,A,COM,,WIN,STANDARD,
Explain ,,Uitleggen ,U,BUT,,WIN,PUB,See Cue Card Layout Checker; Wegwijzer Layoutcontrole).
File,,Bestand,B,MNU,,WIN,STANDARD,
File,,Bestand,B,OPT,,WIN,PUB,
File Name:,,Bestandsnaam:,N,TXB,,WIN,STANDARD,
File:,,Bestand:,B,TXB,,WIN,PUB
Files Found:,,Bestanden:,B,DIA,,WIN,PUB
Fill Down,,Omlaag kopiëren,O,COM,,WIN,PUB
Fill Right,,Rechts kopiëren,R,COM,,WIN,PUB
Find,,Zoeken ,Z,COM,,WIN,PUB
Find,,Zoeken,,TDB,,WIN,STANDARD
Find All Files of this Type:,,Bestandstype:,T,DIA,,WIN,PUB
Find File,,Bestand zoeken (zie dialoogvenster Bestand zoeken),Z,BUT,,WIN,PUB
Find File,,Bestand zoeken,Z,COM,,WIN,PUB
Find File,,Bestand zoeken,,TDB,,WIN,PUB
Find next,,Volgende zoeken,V,BUT,,WIN,PUB
Find this file:,,Bestandsnaam:,N,TXB,,WIN,PUB
Find what:,,Zoeken naar:,Z,TXB,,WIN,PUB
First Line:,,Eerste regel:,E,TXB,,WIN,PUB
Flip Horizontally,,Horizontaal spiegelen,H,COM,,WIN,PUB
Flip Vertically,,Verticaal spiegelen,V,COM,,WIN,PUB
Font Style,,Opmaak,O,DIA,,WIN,PUB
Font:,,Lettertype: ,L,DIA,,WIN,STANDARD
For TrueType Font:,,Voor True Type-lettertype:,T,DIA,,WIN,PUB
Foreground :,,Voorgrond:,V,DIA,,WIN,PUB
Format,,Opmaak,K,MNU,,WIN,PUB
Format:,,Notatie:,A,DIA,,WIN,PUB
Formats To Apply,,Opmaak aanbrengen,,DIA,,WIN,PUB
From:,,Van:,V,TXB,,WIN,PUB
Full Page,,Volledige pagina,V,COM,,WIN,PUB
General,,Algemeen,,DIA,,WIN,PUB
Go to Background,,Naar achtergrond,N,COM,,WIN,PUB
Go to Foreground,,Naar voorgrond,N,COM,,WIN,PUB
Go To Page,,Ga naar pagina,G,COM,,WIN,PUB
Go To Page,,Ga naar pagina,,TDB,,WIN,PUB
Go To Page,,Ga naar pagina,,TXB,,WIN,PUB
Graphics,,Figuren,,DIA,,WIN,PUB
"Greeting Cards, Tent Cards and Book Fold Publications.",,"wenskaarten, tentkaarten en katernen",,TXT,,WIN,PUB,
Grid,,Raster,R,DIA,,WIN,PUB,
Grid Guides,,Rasterhulplijnen,,DIA,,WIN,PUB,
Group Objects,,Objecten groeperen,O,COM,,WIN,PUB,
Hairline,,Haarlijn,A,DIA,,WIN,PUB,
Hairline,,Haarlijn,A,OPT,,WIN,PUB,
Halftone Angle,,Halftinthoek,K,TXB,,WIN,PUB,Software: Halftone-hoek
Halftone Frequency,,Halftint-interval,I,TXB,,WIN,PUB,Software: Halftone-interval
Height:,,Hoogte:,O,TXB,,WIN,PUB,
Helpful Hint,,Handige tip:,,DIA,,WIN,PUB,
Hide Boundaries and Guides,,Begrenzingen en hulplijnen verbergen,B,COM,,WIN,PUB,
Hide Pictures,,Figuren verbergen,F,COM,,WIN,PUB,
Hide Rulers,,Linialen verbergen,L,COM,,WIN,PUB,
Hide Special Characters,,Speciale tekens verbergen,P,COM,,WIN,PUB,
Hide Status Line,,Statusbalk verbergen,T,COM,,WIN,PUB,
Hide Toolbar Text,,Werkbalktekst verbergen,W,COM,,WIN,PUB,
Highlight Entire Story,,Verhaal selecteren,L,COM,,WIN,PUB
Highlight Entire Table,,Tabel selecteren,T,COM,,WIN,PUB
Highlight Region,,Gebied selecteren,L,COM,,WIN,PUB
Highlight Text,,Tekst selecteren,L,COM,,WIN,PUB
How to use help,,Help gebruiken,E,COM,,WIN,STANDARD
Hypenate at:,,Afbreken bij:,A,TXB,,WIN,PUB
Hyphenate,,Afbreken,A,COM,,WIN,PUB
Hyphenate,,Afbreken ,,TDB,,WIN,PUB
Hyphenation,,Afbreken,,DIA,,WIN,PUB
Hyphenation Zone:,,Afbreekzone:,Z,DIA,,WIN,PUB
Ignore,,Negeren,N,BUT,,WIN,PUB
Ignore All,,Alles negeren,A,BUT,,WIN,PUB
Ignore Background,,Achtergrond negeren,C,COM,,WIN,PUB
Ignore Background,,Achtergrond negeren,C,COM,,WIN,PUB
Ignore Background,,Achtergrond negeren,,TDB,,WIN,PUB
Ignore Background For,,Achtergrond negeren voor,,DIA,,WIN,PUB
Ignore Words In UPPERCASE,,Woorden in HOOFDLETTERS negeren,O,OPT,,WIN,PUB
Import File,,Importeren,I,BUT,,WIN,PUB
Import new styles,,Nieuw opmaakprofiel importeren,I,OPT,,WIN,PUB
Import new styles,,Nieuw opmaakprofiel importeren,,TDB,,WIN,PUB
Import Picture,,Figuur importeren,,TDB,,WIN,PUB
Import Picture ,,Figuur importeren,F,COM,,WIN,PUB
Import Picture Options,,Opties,,DIA,,WIN,PUB
Import Text,,Tekst importeren,T,COM,,WIN,PUB
Import Text,,Tekst importeren,,TDB,,WIN,PUB
"Include ""Continued from page """,,"""Vervolg van pagina "" invoegen",V,CHX,,WIN,PUB
"Include ""Continued on page """,,"""Vervolg op pagina "" invoegen",E,CHX,,WIN,PUB
Indent List By:,,Lijst inspringen met:,M,CHX,,WIN,PUB
Indent settings,,Instellingen,,DIA,,WIN,PUB
Indents,,Inspringmarkeringen,,DIA,,WIN,PUB
Indents and Lists,,Inspringen en lijsten,I,COM,,WIN,PUB
Indents and lists,,Inspringen en lijsten,I,OPT,,WIN,PUB
Indents and Lists,,Inspringen en lijsten,,TDB,,WIN,PUB
Insert,,Invoegen,,DIA,,WIN,PUB
Insert,,Rijen of kolommen invoegen,,TDB,,WIN,PUB
Insert Blank Pages,,Lege pagina's invoegen,L,OPT,,WIN,PUB
Insert Object,,Object invoegen,,TDB,,WIN,PUB
Insert Object ,,Object invoegen,I,COM,,WIN,PUB
Insert Page Numbers,,Paginanummers invoegen,R,COM,,WIN,PUB
Insert Pages,,Pagina's invoegen,I,COM,,WIN,PUB
Insert Pages,,Pagina's invoegen,,TDB,,WIN,PUB
Insert Rows or Columns,,Rijen of kolommen invoegen,I,COM,,WIN,PUB
Insert Symbol,,Symbool invoegen,I,COM,,Win,PUB
Insert Symbol,,Symbool invoegen,,TDB,,WIN,PUB
Inside:,,Binnenkant:,N,TXB,,WIN,PUB
Instruction,,Instructies,I,BUT,,WIN,PUB
Introduction to Publisher,,Introductie,N,COM,,WIN,PUB
Kern Character Pairs Above,,Lettercombinaties boven xxx afspatiëren,L,TXB,,WIN,PUB
Keyboard Guide,,Toetsenbord,T,COM,,WIN,PUB
Label:,,Label:,L,DIA,,WIN,PUB
Landscape,,Liggend,L,OPT,,WIN,PUB
Layout,,Layout,L,MNU,,WIN,PUB
Layout Check Range,,Bereik,,DIA,,WIN,PUB
Layout Checker,,Layoutcontrole,,TDB,,WIN,PUB
Layout Guides,,Layouthulplijnen,L,COM,,WIN,PUB
Layout Guides,,Layouthulplijnen,,TDB,,WIN,PUB
Leader,,Opvulteken,,DIA,,WIN,PUB
Left,,Links,L,OPT,,WIN,PUB
Left :,,Links:,L,TXB,,WIN,PUB
