US,,Èesky,Comments/Correction
Tools,,Nástroje (t),
top window border,,horní okraj okna
Tracks,,Stopy (s)
Tutorial,,Výuka (k)
type,,"napsat, zadat"
unavailable command,,nedostupný pøíkaz
underline,,podtržené
Undo,,Zpìt (z)
unfreeze,,uvolnit
Unfreeze Panes,,Uvolnit  podokna (tabule)
Unhide...,,Zrušit skrytí... (s)
Up,,Nahoru (n)
UP ARROW,,klávesa ŠIPKA NAHORU
up scroll arrow,,horní šipka posuvníku
update,,aktualizace
Update,,Aktualizovat  (a)
Utilities,,Obslužné programy
value set,,"obor hodnot, nastavení hodnoty"
vertical scroll bar,,svislý posuvník
vertical split bar,,svislá pøíèka
view,,zobrazit
View,,Zobrazit (z)
wallpaper,,tapeta
warning message,,výstražná zpráva
wildcard,,zástupný znak 
window,,okno
window background,,pozadí okna
window border,,okraj okna
window corner,,roh okna
window frame,,rám okna
Window,,Okno (o)
window size,,velikost okna
window title,,záhlaví okna
Windows Setup,,Instalaèní program Windows Setup
workspace,,pracovní prostor
Yes,,Ano
zoom in,,pøiblížit
zoom out,,oddálit
Zoom...,,Lupa... (l)
